,doc,url,correct,target,prediction,count
300,"Strange behavior with february when calculate period and espessially the month calculation
about the february month there is a strange behavior that you can see in the incorect results with jodatime, you can look down here : 

```
        DateTime date4 = new DateTime(2013, 5, 29, 0, 0, 0, 0);
        DateTime date4PlusNineMonths = new DateTime(2014, 2, 28, 0, 0, 0, 0);
        Period period4 = new Period(date4, date4PlusNineMonths);
        //Incorrect result
        System.out.print(date4.toString(""dd/MM/YYYY"")+"".plusMonths(9) = ""+ date4.plusMonths(9).toString(""dd/MM/YYYY""));
        System.out.print(period4.getYears() +""Years/""+ period4.getMonths() +""Months/""+ period4.getWeeks() +""Weeks/""+ period4.getDays() +""Days"");
```

Output :
    29/05/2013.plusMonths(9) = 28/02/2014 //incorrect result should be 01/03/2014
    0Years/9Months/0Weeks/0Days

This is an incorrect calculation It should be 0Years/8Months/4Weeks/2Days Isn't it...?

If it is correct so why when I increase two days more (30 and 31) it always give me the same calculation (0Years/9Months/0Weeks/0Days) we all agree that days are really decreasing or am I dreaming...?

Now maybe I wrong in my use of the joda framework because in the app I develop I do a check everyday on a period to have the precise month separation between two date (toDay and the next date) and if I have 9months and 1day it's too late I need to have 9months and 0days as required in my app =/

If I wrong how can I achieve this please...?
",https://github.com/JodaOrg/joda-time/issues/31,0.0,2.0,2.0357142857142856,56
38,"Cannot suppress output of ""Lost connection to the server....""
<!--
Hi there! thank you for discovering and submitting an issue!

Please first tell us a little bit about the environment you're running:
The commands in the comments can be run directly in a command prompt.
-->


- **OS and version used:** Windows 10 

- **Java runtime used:** <VERSION> Java 8

- **SDK version used:** <VERSION> 1.7.0


# Description of the issue:
Printout of ""Lost connection to the server."" is printed both to System.out and to log.
This makes it harder/impossible to suppres that output that would go to log with info level.

I found the message in 
https://github.com/Azure/azure-iot-sdk-java/blob/master/device/iot-device-client/src/main/java/com/microsoft/azure/sdk/iot/device/transport/amqps/AmqpsIotHubConnection.java#L769

---
System.out.println(""Lost connection to the server. Reconnection attempt "" + currentReconnectionAttempt++ + ""..."");
        logger.LogInfo(""Lost connection to the server. Reconnection attempt %s, method name is %s "", currentReconnectionAttempt, logger.getMethodName());
---

My suggestion is to remove the System.out line 

",https://github.com/Azure/azure-iot-sdk-java/issues/205,0.0,3.0,0.42857142857142855,14
293,"Slider not showing in simulator iOs skins
Original [issue 1161](https://code.google.com/p/codenameone/issues/detail?id=1161) created by codenameone on 2014-07-30T14:31:42.000Z:

The slider is not showing in the simulator on iOs skins. Other skins are showing the slider.

<b>What steps will reproduce the problem?</b>
1. Add a slider to the main form
2. Run in simulator in an iOs skin

<b>What is the expected output? What do you see instead?</b>

The expected output is a slider on the screen. I see nothing. When I set 'setRenderValueOnTop' to true and I slide to left and right on the place the slider should be, I can see the number going up and down. So there is a slider, but it's not visible.

<b>What version of the product are you using? On what operating system?</b>

Netbeans 8, Java 1.8, Linux, CodenameOne plugin: latest (I can't find the version in Netbeans, last check was today and there is no newer version).

<b>Please provide any additional information below.</b>

In all other platforms (simulated), there is a slider showing. I didn't test on real devices.
",https://github.com/codenameone/CodenameOne/issues/1160,0.0,2.0,1.7142857142857142,28
313,"ThrottleRequestFilter swallows interfaces
The ThrottleRequestFilter wraps the AsyncHandler with an AsyncHandlerWrapper. This way all additional interfaces implemented by the originating AsyncHandler get lost. E.g. ProgressAsyncHandler, ResumableAsyncHandler or any custom interfaces.

Suggestion: Maybe use a dynamic proxy which implements all interfaces of the originating AsyncHandler instead of using AsyncHandlerWrapper.
",https://github.com/AsyncHttpClient/async-http-client/issues/1314,0.0,0.0,2.674107142857143,224
316,"Tomcat 7.0.50 shutdown issue
After updating HikariCP from 1.2.8 to 1.3.0 during shutdown Apache Tomcat 7.0.50 I'm getting these messages in catalina.log:

Mar 02, 2014 5:27:40 PM org.apache.catalina.core.StandardServer await
INFO: A valid shutdown command was received via the shutdown port. Stopping the Server instance.
Mar 02, 2014 5:27:40 PM org.apache.coyote.AbstractProtocol pause
INFO: Pausing ProtocolHandler [""http-apr-8080""]
Mar 02, 2014 5:27:40 PM org.apache.coyote.AbstractProtocol pause
INFO: Pausing ProtocolHandler [""ajp-apr-8009""]
Mar 02, 2014 5:27:40 PM org.apache.catalina.core.StandardService stopInternal
INFO: Stopping service Catalina
Mar 02, 2014 5:27:40 PM org.apache.catalina.core.ApplicationContext log
INFO: Closing Spring root WebApplicationContext
Mar 02, 2014 5:27:40 PM org.apache.catalina.loader.WebappClassLoader checkThreadLocalMapForLeaks
SEVERE: The web application [/test] created a ThreadLocal with key of type [com.zaxxer.hikari.util.ConcurrentBag$1](value [com.zaxxer.hikari.util.ConcurrentBag$1@1b6f3995]) and a value of type [java.util.LinkedList](value [[com.zaxxer.hikari.proxy.ConnectionJavassistProxy@af5dd35]]) but failed to remove it when the web application was stopped. Threads are going to be renewed over time to try and avoid a probable memory leak.
Mar 02, 2014 5:27:40 PM org.apache.catalina.loader.WebappClassLoader checkThreadLocalMapForLeaks
SEVERE: The web application [/test] created a ThreadLocal with key of type [com.zaxxer.hikari.util.ConcurrentBag$1](value [com.zaxxer.hikari.util.ConcurrentBag$1@1b6f3995]) and a value of type [java.util.LinkedList](value [[com.zaxxer.hikari.proxy.ConnectionJavassistProxy@4034afa3]]) but failed to remove it when the web application was stopped. Threads are going to be renewed over time to try and avoid a probable memory leak.
Mar 02, 2014 5:27:40 PM org.apache.catalina.loader.WebappClassLoader checkThreadLocalMapForLeaks
SEVERE: The web application [/test] created a ThreadLocal with key of type [com.zaxxer.hikari.util.ConcurrentBag$1](value [com.zaxxer.hikari.util.ConcurrentBag$1@1b6f3995]) and a value of type [java.util.LinkedList](value [[com.zaxxer.hikari.proxy.ConnectionJavassistProxy@4034afa3]]) but failed to remove it when the web application was stopped. Threads are going to be renewed over time to try and avoid a probable memory leak.
Mar 02, 2014 5:27:40 PM org.apache.catalina.loader.WebappClassLoader checkThreadLocalMapForLeaks
SEVERE: The web application [/test] created a ThreadLocal with key of type [com.zaxxer.hikari.util.ConcurrentBag$1](value [com.zaxxer.hikari.util.ConcurrentBag$1@1b6f3995]) and a value of type [java.util.LinkedList](value [[com.zaxxer.hikari.proxy.ConnectionJavassistProxy@af5dd35]]) but failed to remove it when the web application was stopped. Threads are going to be renewed over time to try and avoid a probable memory leak.
Mar 02, 2014 5:27:40 PM org.apache.catalina.loader.WebappClassLoader checkThreadLocalMapForLeaks
SEVERE: The web application [/test] created a ThreadLocal with key of type [com.zaxxer.hikari.util.ConcurrentBag$1](value [com.zaxxer.hikari.util.ConcurrentBag$1@1b6f3995]) and a value of type [java.util.LinkedList](value [[com.zaxxer.hikari.proxy.ConnectionJavassistProxy@af5dd35]]) but failed to remove it when the web application was stopped. Threads are going to be renewed over time to try and avoid a probable memory leak.
Mar 02, 2014 5:27:40 PM org.apache.catalina.loader.WebappClassLoader checkThreadLocalMapForLeaks
SEVERE: The web application [/test] created a ThreadLocal with key of type [com.zaxxer.hikari.util.ConcurrentBag$1](value [com.zaxxer.hikari.util.ConcurrentBag$1@1b6f3995]) and a value of type [java.util.LinkedList](value [[com.zaxxer.hikari.proxy.ConnectionJavassistProxy@af5dd35]]) but failed to remove it when the web application was stopped. Threads are going to be renewed over time to try and avoid a probable memory leak.
Mar 02, 2014 5:27:40 PM org.apache.catalina.loader.WebappClassLoader checkThreadLocalMapForLeaks
SEVERE: The web application [/test] created a ThreadLocal with key of type [com.zaxxer.hikari.util.ConcurrentBag$1](value [com.zaxxer.hikari.util.ConcurrentBag$1@1b6f3995]) and a value of type [java.util.LinkedList](value [[com.zaxxer.hikari.proxy.ConnectionJavassistProxy@4034afa3]]) but failed to remove it when the web application was stopped. Threads are going to be renewed over time to try and avoid a probable memory leak.
Mar 02, 2014 5:27:40 PM org.apache.catalina.loader.WebappClassLoader checkThreadLocalMapForLeaks
SEVERE: The web application [/test] created a ThreadLocal with key of type [com.zaxxer.hikari.util.ConcurrentBag$1](value [com.zaxxer.hikari.util.ConcurrentBag$1@1b6f3995]) and a value of type [java.util.LinkedList](value [[com.zaxxer.hikari.proxy.ConnectionJavassistProxy@4034afa3]]) but failed to remove it when the web application was stopped. Threads are going to be renewed over time to try and avoid a probable memory leak.
Mar 02, 2014 5:27:40 PM org.apache.catalina.loader.WebappClassLoader checkThreadLocalMapForLeaks
SEVERE: The web application [/test] created a ThreadLocal with key of type [com.zaxxer.hikari.util.ConcurrentBag$1](value [com.zaxxer.hikari.util.ConcurrentBag$1@1b6f3995]) and a value of type [java.util.LinkedList](value [[com.zaxxer.hikari.proxy.ConnectionJavassistProxy@af5dd35]]) but failed to remove it when the web application was stopped. Threads are going to be renewed over time to try and avoid a probable memory leak.
Mar 02, 2014 5:27:40 PM org.apache.catalina.loader.WebappClassLoader checkThreadLocalMapForLeaks
SEVERE: The web application [/test] created a ThreadLocal with key of type [com.zaxxer.hikari.util.ConcurrentBag$1](value [com.zaxxer.hikari.util.ConcurrentBag$1@1b6f3995]) and a value of type [java.util.LinkedList](value [[com.zaxxer.hikari.proxy.ConnectionJavassistProxy@af5dd35]]) but failed to remove it when the web application was stopped. Threads are going to be renewed over time to try and avoid a probable memory leak.
Mar 02, 2014 5:27:40 PM org.apache.coyote.AbstractProtocol stop
INFO: Stopping ProtocolHandler [""http-apr-8080""]
Mar 02, 2014 5:27:40 PM org.apache.coyote.AbstractProtocol stop
INFO: Stopping ProtocolHandler [""ajp-apr-8009""]
Mar 02, 2014 5:27:40 PM org.apache.coyote.AbstractProtocol destroy
INFO: Destroying ProtocolHandler [""http-apr-8080""]
Mar 02, 2014 5:27:40 PM org.apache.coyote.AbstractProtocol destroy
INFO: Destroying ProtocolHandler [""ajp-apr-8009""]
",https://github.com/brettwooldridge/HikariCP/issues/39,0.0,3.0,1.0,119
31,"Can't change html when using ""spring-boot-starter-mustache"" with Eclipse.
I want to use SpringBoot, SpringDevtool, Mustache, Gradle, and Eclipse on Windows10.
But not work.
1. I run as ""Spring Boot app"" at Eclipse, and Tomcat start.
2. I can change html in ""src/main/templates""
3. I access ""localhost:8080"" by chrome browser.
4. I change html, then Eclipse error `The project was not built due to ""Could not delete '/${projectname}/bin/templates'."". Fix the problem, then try refreshing this project and building it since it may be inconsistent` occurred, so ""localhost:8080"" return error.

Are SpringBoot and Mustache and Eclipse bad combination?

My build.gradle is ...

```
apply plugin: 'java'
apply plugin: 'eclipse'
apply plugin: 'spring-boot' 

sourceCompatibility = '1.8'
targetCompatibility = '1.8'

repositories {
    mavenCentral()
}

buildscript {
    repositories {
        mavenCentral()
    }
    dependencies {
        classpath(""org.springframework.boot:spring-boot-gradle-plugin:1.3.1.RELEASE"")
    }
}

dependencies {
    compile 'org.springframework.boot:spring-boot-starter-web:1.3.1.RELEASE'
    compile 'org.springframework.boot:spring-boot-starter-mustache:1.3.1.RELEASE'
}
```
",https://github.com/spring-projects/spring-boot/issues/4921,0.0,1.0,2.0,91
253,"Randomly failing test case in class InstallUninstallNPMPluginUITest
Test `testInstallNpmsThenUninstallOneDependency` in class `InstallUninstallNPMPluginUITest` fails randomly with the following exception:

```
IResourceDescription in index must not be an instance of ResourceDescriptionWithoutModuleUserData but it was. URI: file:/var/lib/build/workspace/n4js-extended-nightly/n4js-n4/tests/com.enfore.n4js.ui.tests/target/work/data/.metadata/.plugins/org.eclipse.n4js.external.libraries/.n4npm/node_modules/lodash/fp/matches.js
IResourceDescription in index must not be an instance of ResourceDescriptionWithoutModuleUserData but it was. URI: file:/var/lib/build/workspace/n4js-extended-nightly/n4js-n4/tests/com.enfore.n4js.ui.tests/target/work/data/.metadata/.plugins/org.eclipse.n4js.external.libraries/.n4npm/node_modules/lodash/bind.js
[...]
	at org.junit.Assert.fail(Assert.java:88)
	at org.junit.Assert.assertTrue(Assert.java:41)
	at org.eclipse.n4js.tests.builder.AbstractBuilderTest.assertXtextIndexIsValid(AbstractBuilderTest.java:274)
	at org.eclipse.n4js.tests.builder.AbstractBuilderTest.waitForAutoBuild(AbstractBuilderTest.java:204)
	at org.eclipse.n4js.tests.builder.AbstractBuilderTest.waitForAutoBuild(AbstractBuilderTest.java:197)
	at com.enfore.n4js.tests.externalPackages.InstallUninstallNPMPluginUITest.testInstallNpmsThenUninstallOneDependency(InstallUninstallNPMPluginUITest.java:184)
```

For sample builds showing this failure see internal Jenkins build server.
  ",https://github.com/eclipse/n4js/issues/444,0.0,0.0,2.0,154
242,"Prepared params, IN clause, array of enums: stackoverflow exception
### OrientDB Version: 2.2.20 

`SELECT * FROM Project WHERE status in :status`

if status is enum array (tested with 2 elements), it will fall into infinite recursion during parsing named parameters, and end in stackoverflow.

This one works, if :status is Enum:
`SELECT * FROM Project WHERE status = :status`


```
// toParsedTree function
 ...
      while (iterator.hasNext()) {
        Object o = iterator.next();
        OExpression exp = new OExpression(-1);
        exp.value = toParsedTree(o); //recursive call, returns itself, one time for each element in array
        coll.expressions.add(exp);
      }
...
```

Not particulary painfull, as I can map Enum to String on my own, but confusing, since status = :status, where status is enum works.

Part of stack: 

> ERROR [2017-05-15 09:54:47,472] io.dropwizard.jersey.errors.LoggingExceptionMapper: Error handling a request: f8918bc72cb46f84
> ! java.lang.StackOverflowError: null
> ! at com.orientechnologies.common.collection.OMultiValue.isMultiValue(OMultiValue.java:50)
> ! at com.orientechnologies.common.collection.OMultiValue.isMultiValue(OMultiValue.java:62)
> ! at com.orientechnologies.orient.core.sql.parser.OInputParameter.toParsedTree(OInputParameter.java:77)
> ! at com.orientechnologies.orient.core.sql.parser.ONamedParameter.bindFromInputParams(ONamedParameter.java:49)
> ! at com.orientechnologies.orient.core.sql.parser.ONamedParameter.toString(ONamedParameter.java:31)
> ! at com.orientechnologies.orient.core.sql.parser.OExpression.toString(OExpression.java:104)
> ! at com.orientechnologies.orient.core.sql.parser.OCollection.toString(OCollection.java:35)
> ! at com.orientechnologies.orient.core.sql.parser.ONamedParameter.toString(ONamedParameter.java:39)
> ! at com.orientechnologies.orient.core.sql.parser.OExpression.toString(OExpression.java:104)
> ! at com.orientechnologies.orient.core.sql.parser.OCollection.toString(OCollection.java:35)
> ! at com.orientechnologies.orient.core.sql.parser.ONamedParameter.toString(ONamedParameter.java:39)
> ! at com.orientechnologies.orient.core.sql.parser.OExpression.toString(OExpression.java:104)
> ! at com.orientechnologies.orient.core.sql.parser.OCollection.toString(OCollection.java:35)
> ! at com.orientechnologies.orient.core.sql.parser.ONamedParameter.toString(ONamedParameter.java:39)
> ! at com.orientechnologies.orient.core.sql.parser.OExpression.toString(OExpression.java:104)
> ! at com.orientechnologies.orient.core.sql.parser.OCollection.toString(OCollection.java:35)
>  ...",https://github.com/orientechnologies/orientdb/issues/7418,0.0,1.0,3.0,49
228,"Parsing a date string with an incorrect day of the week does not throw any errors
If you parse a string that has an incorrect day of the week , e.g.

``` java
// July 14, 2012 is a Saturday, but let's call it a Friday
DateTimeFormat.forPattern(""EEE MMM dd yyyy"").parseDateTime(""Fri Jul 14 2012"");
```

No parse errors are thrown, but it changes the date to be the 13th, rather than the 14th as in the string to be parsed.
",https://github.com/JodaOrg/joda-time/issues/78,0.0,2.0,3.0,56
295,"Spring Boot - Maven Plugin shutdown broken
As of 2.2.0 the shutdown of a spring-boot application is broken and results in a Build Failure when executed.

I ran ```mvnw clean install package spring-boot:run``` as a command.

In attachment the executable file of a boot from https://start.spring.io/ and the resulted build fail. I ran with Java 8, and the Maven wrapper included in the project. 

[output.txt](https://github.com/spring-projects/spring-boot/files/3822172/output.txt)
",https://github.com/spring-projects/spring-boot/issues/18936,0.0,0.0,2.0,91
220,"ODB server doesn't totally respect the ""storage.diskCache.pageSize"" directive
according to the default value of the ""storage.diskCache.pageSize"" directive (64k), during an ""import database"" test I observed these write bytes size distribution:

```
     value  ------------- Distribution ------------- count
           0 |                                         0
           1 |@@@@@@@@@@@@@@@@@@@@@@@@@                8811
           2 |                                         0
           4 |                                         0
           8 |@                                        407
          16 |                                         77
          32 |@                                        182
          64 |                                         6
         128 |                                         0
         256 |                                         13
         512 |                                         12
        1024 |                                         26
        2048 |                                         47
        4096 |                                         35
        8192 |                                         0
       16384 |                                         0
       32768 |                                         0
       65536 |@@@@@@@@@@@@                             4363
      131072 |                                         0
```

It means that there were 8811 writes of 1 byte and 4363 writes of 65536 bytes (as expected), and so on.

After setting the ""storage.diskCache.pageSize"" value to ""32"", I observed these details  for the same process:

 zfs pwrite /zones/orientdbZone/root/opt/orientdb-community-1.6.4/databases

```
       value  ------------- Distribution ------------- count
           0 |                                         0
           1 |@@@@@                                    275
           2 |                                         0
           4 |                                         0
           8 |@@@@@@@                                  399
          16 |                                         0
          32 |                                         0
          64 |                                         0
         128 |                                         0
         256 |                                         13
         512 |                                         12
        1024 |                                         26
        2048 |@                                        47
        4096 |@                                        35
        8192 |                                         0
       16384 |                                         0
       32768 |@@@@@@@@@@@@@@@@@@@@@@@@@@@              1604
       65536 |                                         0
```

 zfs write /zones/orientdbZone/root/opt/orientdb-community-1.6.4/databases

```
       value  ------------- Distribution ------------- count
           0 |                                         0
           1 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@        8536
           2 |                                         0
           4 |                                         0
           8 |                                         8
          16 |                                         77
          32 |@                                        182
          64 |                                         6
         128 |                                         0
         256 |                                         0
         512 |                                         0
        1024 |                                         0
        2048 |                                         0
        4096 |                                         0
        8192 |                                         0
       16384 |                                         0
       32768 |                                         0
       65536 |@@@@@@                                   1526
      131072 |                                         0
```

It seems that the pwrite() function respects the new page size setup, but the write() function doesn't.

I traced the syscalls during a simple ""create database"", trying to investigate the JVM at the same time:

zfs pwrite /zones/orientdbZone/root/opt/orientdb-community-1.6.4/databases

```
       value  ------------- Distribution ------------- count
           0 |                                         0
           1 |@@@@                                     26
           2 |                                         0
           4 |                                         0
           8 |@@@@@@@                                  39
          16 |                                         0
          32 |                                         0
          64 |                                         0
